bbl,address,lotarea,zonedist1,landuse,overlay1,max_height,maxComm,maxResi,WAREHOUSES,INDUSTRIAL/RETAIL,MAKERS/OFFICE,HOUSING UNITS,RESIDENTS (PPL),current_height,current_RESIDENTS (PPL),current_WAREHOUSES,current_INDUSTRIAL/RETAIL,current_OFFICE,total_JOBS
3005870006,371 VAN BRUNT STREET,2250.0,R5,Multi-Family Walk-Up Buildings,C1-3,30.0,2250.0,2812.5,0.0,3.0,11.0,3.0,8.0,33.0,8.0,0.0,0.0,0.0,0.0
3005560129,91 KING STREET,1000.0,R5,One & Two Family Buildings,,30.0,0.0,1250.0,0.0,0.0,0.0,1.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0
3005620014,144 CENTRE STREET,4000.0,M1-1,Industrial & Manufacturing,,30.0,4000.0,0.0,1.0,6.0,20.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,1.0
3005110002,215 VAN BRUNT STREET,2250.0,M1-1,One & Two Family Buildings,,30.0,2250.0,0.0,0.0,3.0,11.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0
3006100018,161 BEARD STREET,10000.0,M1-1/R5,Industrial & Manufacturing,,60.0,10000.0,12500.0,3.0,16.0,50.0,16.0,43.0,11.0,0.0,3.0,0.0,0.0,3.0
3005080010,45 BOWNE STREET,15794.0,M1-1,Industrial & Manufacturing,,30.0,15794.0,0.0,5.0,26.0,78.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
3005350044,59 WEST 9 STREET,2000.0,M1-1,Parking Facilities,,30.0,2000.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3004840027,241 LORRAINE STREET,5000.0,M1-1,Industrial & Manufacturing,,30.0,5000.0,0.0,1.0,8.0,25.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
3005310053,124 PIONEER STREET,1667.0,R5,One & Two Family Buildings,,30.0,0.0,2083.75,0.0,0.0,0.0,2.0,5.0,22.0,5.0,0.0,0.0,0.0,0.0
3005560142,74 SULLIVAN STREET,1752.0,R5,One & Two Family Buildings,,30.0,0.0,2190.0,0.0,0.0,0.0,2.0,5.0,33.0,2.0,0.0,0.0,0.0,0.0
3006030037,166 BEARD STREET,3539.0,M1-1/R5,Multi-Family Walk-Up Buildings,,60.0,3539.0,4423.75,1.0,5.0,17.0,5.0,13.0,33.0,8.0,0.0,0.0,0.0,0.0
3005120042,374 COLUMBIA STREET,1462.0,M1-1,Multi-Family Walk-Up Buildings,,30.0,1462.0,0.0,0.0,2.0,7.0,0.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0
3005120044,378 COLUMBIA STREET,1292.0,M1-1,One & Two Family Buildings,,30.0,1292.0,0.0,0.0,2.0,6.0,0.0,0.0,45.0,5.0,0.0,0.0,0.0,0.0
3005170047,114 VERONA STREET,1875.0,M2-1,,,60.0,3750.0,0.0,1.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005310046,110 PIONEER STREET,1667.0,R5,One & Two Family Buildings,,30.0,0.0,2083.75,0.0,0.0,0.0,2.0,5.0,22.0,5.0,0.0,0.0,0.0,0.0
3005130017,22 COLES STREET,3586.0,M1-1,Parking Facilities,,30.0,3586.0,0.0,1.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005460014,123 PIONEER STREET,1667.0,R5,One & Two Family Buildings,C1-3,30.0,1667.0,2083.75,0.0,2.0,8.0,2.0,5.0,22.0,2.0,0.0,0.0,0.0,0.0
3005560011,127 KING STREET,1740.0,R5,Industrial & Manufacturing,C1-3,30.0,1740.0,2175.0,0.0,2.0,8.0,2.0,5.0,22.0,0.0,0.0,0.0,17.0,17.0
3005770019,27 WOLCOTT STREET,1933.0,R5,One & Two Family Buildings,,30.0,0.0,2416.25,0.0,0.0,0.0,3.0,8.0,22.0,5.0,0.0,0.0,0.0,0.0
